"gameID (S)","Age (N)","Description (S)","Image (S)","Name (S)","Players (NS)","Tags (L)","Time (NS)","Year (N)","Rules (S)"
"133473","8","In the super-fast sushi card game Sushi Go!, you are eating at a sushi restaurant and trying to grab the best combination of sushi dishes as they whiz by. Score points for collecting the most sushi rolls or making a full set of sashimi. Dip your favorite nigiri in wasabi to triple its value! And once you've eaten it all, finish your meal with all the pudding you've got! But be careful which sushi you allow your friends to take; it might be just what they need to beat you!
__Sushi Go! takes the card-drafting mechanism of Fairy Tale and 7 Wonders and distills it into a twenty-minute game that anyone can play. The dynamics of 'draft and pass' are brought to the fore, while keeping the rules to a minimum. As you see the first few hands of cards, you must quickly assess the make-up of the round and decide which type of sushi you'll go for. Then, each turn you'll need to weigh which cards to keep and which to pass on. The different scoring combinations allow for some clever plays and nasty blocks. Round to round, you must also keep your eye on the goal of having the most pudding cards at the end of the game!
__","https://cf.geekdo-images.com/EPdI2KbLVtpGWLgL_eJLFg__original/img/ahppJwWWpWQTzT8LR-2ObsjB7OY=/0x0/filters:format(jpeg)/pic5885690.jpg","Sushi Go!","{ 2, 5 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  }]","{ 15 } ","2013","https://www.gamewright.com/gamewright/pdfs/Rules/SushiGoTM-RULES.pdf"
"136063","10","Game description from the publisher:
__Gear up for a thrilling adventure to recover a legendary flying machine buried deep in the ruins of an ancient desert city. You'll need to coordinate with your teammates and use every available resource if you hope to survive the scorching heat and relentless sandstorm. Find the flying machine and escape before you all become permanent artifacts of the forbidden desert!
__In Forbidden Desert, a thematic sequel to Forbidden Island, players take on the roles of brave adventurers who must throw caution to the wind and survive both blistering heat and blustering sand in order to recover a legendary flying machine buried under an ancient desert city. While featuring cooperative gameplay similar to Forbidden Island, Forbidden Desert is a fresh, new game based around an innovative set of mechanisms such as an ever-shifting board, individual resource management, and a unique method for locating the flying machine parts.
__","https://cf.geekdo-images.com/OU26qQZoHJodxSFKiR5IzA__original/img/8smpJMuHROyrbu8FP-EOLXjEi0w=/0x0/filters:format(jpeg)/pic1528722.jpg","Forbidden Desert","{ 2, 5 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Adventure"" },      ""TagID"" : { ""N"" : ""1022"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Fantasy"" },      ""TagID"" : { ""N"" : ""1010"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Science Fiction"" },      ""TagID"" : { ""N"" : ""1016"" }    }  }]","{ 45 } ","2013","https://www.gamewright.com/gamewright/pdfs/Rules/ForbiddenDesertTM-RULES.pdf"
"13916","8","From Manufacturers web site:

A game for all partners young and old based on the massively popular, classic TV show. Players win points by correctly guessing their partners' chosen answers. However, watch the partners squabble when they get things wrong!
Unlike the TV show, all players can participate at the same time and some questions are specific to gender and age. You can even write questions of your own to cause more embarrassment using the blank cards included.

","https://cf.geekdo-images.com/7HiKHBAzA_7bBo8frTXYIQ__original/img/4qJA7HgMEfL9sss2mc44f6uMcog=/0x0/filters:format(jpeg)/pic72257.jpg","Mr & Mrs","{ 16, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Movies / TV / Radio theme"" },      ""TagID"" : { ""N"" : ""1064"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Trivia"" },      ""TagID"" : { ""N"" : ""1027"" }    }  }]","{ 30 } ","2001","https://www.whatkatysaid.com/mr-mrs-the-board-game-review/#:~:text=Each%20pair%20are%20asked%20questions,if%20any%20are%20a%20match"
"139443","8","Superfight is party game of super powers and super problems. The game is all about arguing with your friends about ridiculous fights.

The core deck contains 500 cards. 160 characters (white cards), and 340 powers and weaknesses (black cards). Players use a hand of three white cards and three black cards, and choose one of each to beat the player next to them. Then they get a random black card before fighting. Players then argue their case for why they should win, and the table votes.

Note: Superfight went through a major reprint in late 2014. The rules and about 30% of the cards were refined to improve the game after it sold out of its original print runs. The Cards Against Humanity/Apples to Apples mechanism has been replaced by a table vote and one-one one battles, but the battle royale and villain rulesets keep the old single-judge mechanism if the table prefers it.

","https://cf.geekdo-images.com/XT_zIUdnEfKO058ShFJ2VQ__original/img/SeSdxQJbIQpCvsgJLV_jHBsWgUI=/0x0/filters:format(png)/pic2429251.png","Superfight","{ 3, 20 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Comic Book / Strip"" },      ""TagID"" : { ""N"" : ""1116"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Fighting"" },      ""TagID"" : { ""N"" : ""1046"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Humor"" },      ""TagID"" : { ""N"" : ""1079"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Party Game"" },      ""TagID"" : { ""N"" : ""1030"" }    }  }]","{ 15 } ","2013","https://www.fgbradleys.com/rules/rules2/Superfight-rules.pdf"
"1410","4","This is the game with the Pop-O-Matic dice roller.  It's a simplified Pachisi variant in which only one die is rolled per turn.

The game is abstract, each player has set of pawns of his color. Each turn player rolls a die using the Pop-O-Matic and selects one of his pawns to move. Pawns can enter the track from Home base only on a roll of six. Each pawn needs to travel around the board and finish on the Finish lane. If pawn of another player is bumped, the bumped pawn is returned to home. The goal is to be the first one to get all the pawns to the Finish lane.

For advanced players, we suggest that when a piece gets bumped, it should only be bumped back to its START space, rather than to its HOME.  Only when bumped from their START space are pieces sent HOME.

Travel Trouble uses the same mechanisms, but is on a smaller board with fewer spaces, so it plays more quickly.

","https://cf.geekdo-images.com/3CRH_fvyD-GAnNuMkC7pLQ__original/img/bRS8FtouoY2nbBpXeGYfVpUEPWE=/0x0/filters:format(jpeg)/pic135797.jpg","Trouble","{ 4, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Children's Game"" },      ""TagID"" : { ""N"" : ""1041"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Racing"" },      ""TagID"" : { ""N"" : ""1031"" }    }  }]","{ 45 } ","1965","https://fgbradleys.com/rules//Trouble.pdf"
"147949","8","No moderator, no elimination, ten-minute games.

One Night Ultimate Werewolf is a fast game for 3-10 players in which everyone gets a role: One of the dastardly Werewolves, the tricky Troublemaker, the helpful Seer, or one of a dozen different characters, each with a special ability. In the course of a single morning, your village will decide who is a werewolf...because all it takes is lynching one werewolf to win!

Because One Night Ultimate Werewolf is so fast, fun, and engaging, you'll want to play it again and again, and no two games are ever the same.

This game can be combined with One Night Ultimate Werewolf Daybreak.

","https://cf.geekdo-images.com/KLDb0vR3w8mfaHgIGF0gHw__original/img/9YTYFSMwiRA01ZRNG0R5e9Rq01E=/0x0/filters:format(jpeg)/pic1809823.jpg","One Night Ultimate Werewolf","{ 3, 10 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Bluffing"" },      ""TagID"" : { ""N"" : ""1023"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Deduction"" },      ""TagID"" : { ""N"" : ""1039"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Horror"" },      ""TagID"" : { ""N"" : ""1024"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Party Game"" },      ""TagID"" : { ""N"" : ""1030"" }    }  }]","{ 10 } ","2014","https://www.fgbradleys.com/rules/rules2/OneNightUltimateWerewolf-rules.pdf"
"148949","10","There's hustle and bustle at Istanbul's grand bazaar as merchants and their assistants rush through the narrow alleys in their attempt to be more successful than their competitors. Everything must be well organized: wheelbarrows must be filled with goods at the warehouses, then swiftly transported by the assistants to various destinations. Your goal? Be the first merchant to collect a certain number of rubies.

In Istanbul, you lead a group of one merchant and four assistants through 16 locations in the bazaar. At each such location, you can carry out a specific action. The challenge, though, is that to take an action, you must move your merchant and an assistant there, then leave the assistant behind (to handle all the details while you focus on larger matters). If you want to use that assistant again later, your merchant must return to that location to pick him up. Thus, you must plan ahead carefully to avoid being left with no assistants and thus unable to do anything...

In more detail, on a turn you move your merchant and his retinue of assistants one or two steps through the bazaar, either leave an assistant at that location or collect an assistant left earlier, then perform the action. If you meet other merchants or certain individuals at the location, you might be able to take a small extra action. Possible actions include:


    Paying to increase your wheelbarrow capacity, which starts the game with a capacity of only two for each good.
    Filling your wheelbarrow with a specified good to its limit.
    Acquiring a special ability, and the earlier you come, the easier they are to collect.
    Buying rubies or trading goods for rubies.
    Selling special combinations of goods to make the money you need to do everything else.


When a merchant has collected five rubies in his wheelbarrow, players complete that round, then the game ends. If this player is the only one who's reached this goal, he wins immediately; otherwise ties are broken by money in hand.

","https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__original/img/pHIJibqf-DmlOQD3CfT_rAjGmc0=/0x0/filters:format(jpeg)/pic1885326.jpg","Istanbul","{ 2, 5 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Economic"" },      ""TagID"" : { ""N"" : ""1021"" }    }  }]","{ 60, 40 } ","2014","https://www.fgbradleys.com/rules/rules4/Istanbul%20-%20rules.pdf"
"154633","8","Traditional Clue board game with modernized graphics in the 'Mansion' board and a boardwalk/beach scene on the opposite side of the board.  Gameplay has been updated as well with the 'Boardwalk' scene incorporating 3 red cards which are placed in assigned spots on the board for players to obtain.  These cards allow special plays:

1.  Take a card from each player, mark it on your clue sheet, and return to players.
2.  Choose a player who must secretly show you two cards.
3.  For the rest of the game, you may ask one additional question every time you ask a CLUE question.

The 2013 version also places 3 cards face up for all players to see at the beginning of the game in 4 and 6 player games.

","https://cf.geekdo-images.com/MJsMxx7XS8TLHM3Z6P777w__original/img/To42LZkty-uxw5sCp08xr_VVQ3o=/0x0/filters:format(jpeg)/pic1986993.jpg","Clue","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Deduction"" },      ""TagID"" : { ""N"" : ""1039"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Murder/Mystery"" },      ""TagID"" : { ""N"" : ""1040"" }    }  }]","{ 45 } ","2013","https://www.hasbro.com/common/documents/dad2885d1c4311ddbd0b0800200c9a66/2BFAEC9E5056900B102C3859E9AC6332.pdf"
"155703","12","In Evolution, players adapt their species in a dynamic ecosystem where food is scarce and predators lurk.  Traits like Hard Shell and Horns will protect your species from Carnivores, while a Long Neck will help them get food that others cannot reach. With over 4,000 ways to evolve your species, every game becomes a different adventure.

Evolution packs a surprising amount of variety for a game with simple rules.  The variety comes from the synergies between the trait cards and from the different personalities at the table.  Some players thrive on creating Carnivores to wreak havoc on their fellow players.  Others prefer to stay protected and mind their own business.  Evolution encourages both play styles by giving each of them multiple paths to victory.  And it is the mix of play styles at the table that ultimately determines the ecosystem in which the players are adapting.  So gather your friends and see who can best adapt to the changing world around them.

'The theme of evolution is not just tacked on: it drives play.' - Nature (the world's most prestigious scientific journal)  
Evolution was covered in the journal Nature.  The article was written by Stuart West, a Professor of Evolutionary Biology at the University of Oxford who has used Evolution in his undergraduate class.  

     https://boardgamegeek.com/thread/1487263/evolution-and-other-evolution-themed-games-nature
     https://boardgamegeek.com/thread/1580710/using-game-evolution-teach-evolution


","https://cf.geekdo-images.com/wo_EYno7S66psGPMl_JtiQ__original/img/buKqUQr48Cb41noIhoaAJzWBLQA=/0x0/filters:format(jpeg)/pic3543505.jpg","Evolution","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Animals"" },      ""TagID"" : { ""N"" : ""1089"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Educational"" },      ""TagID"" : { ""N"" : ""1094"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Environmental"" },      ""TagID"" : { ""N"" : ""1084"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Fighting"" },      ""TagID"" : { ""N"" : ""1046"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Prehistoric"" },      ""TagID"" : { ""N"" : ""1036"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Print & Play"" },      ""TagID"" : { ""N"" : ""1120"" }    }  }]","{ 60 } ","2014","https://www.fgbradleys.com/rules/rules3/EvolutionRules.pdf  "
"159406","15","Description from the publisher:
__With a grinding of gears and some uneasy rumbling, Aperture Laboratories has resumed testing! Your team of test subjects has entered the Lab and is ready to perform all sorts of important, dignified, and dangerous testing procedures...all in the pursuit of cake! It's a fun and funny fast-paced fight to the finish - and by finish, we mean your team probably died.
__The Lab is an ever-changing conveyor belt of death and dismemberment. But SCIENTIFIC PROGRESS must be at the forefront of the mind of every good test subject. In Portal: The Uncooperative Cake Acquisition Game, a game of constantly shifting area control and cardplay by the creators of the Portal and Portal 2 video games, players move and Portal their test subjects to various chambers in the lab. At the end of each player's turn, one of the chambers on the end of the lab gives way, plunging all test subjects on it into oblivion. But should your test subjects have numbered greater than all others in the falling chamber, they earn you some wonderful parting gifts, which can include cake.
__Yet these moist slices of industrial-grade cake must be stored in the lab where they are at risk of falling into said oblivion. Not to mention that your jealous opponents can pick up your cake and move it closer to that precipice. He who has acquired the most cake when a team has lost its last test subject wins. Do you risk gathering cake early for a quick win? Or do you bide your time and wait until you can protect it better? Win the game and prove the cake was no lie.
__Components:___    1 Manual___    1 Resource Board___    18 Test Chamber Panels___    20 Aperture Cards/Characters___    4 Oversized Portal Gun Cards___    1 Turret Miniature___    1 Companion Cube Miniature___    2 Portal Tokens___    1 GLaDOS Token___    32 Test Subject Miniatures___    32 Cake Slice Miniatures___    1 Free Portal 2 Steam Activation Code
__","https://cf.geekdo-images.com/nyn3n3wJXVOBxhKi8Arstw__original/img/6n0YWkdEKeI-gL1xvJFmYr8iZT8=/0x0/filters:format(jpeg)/pic4245101.jpg","Portal: The Uncooperative Cake Acquisition Game","{ 4, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Puzzle"" },      ""TagID"" : { ""N"" : ""1028"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Science Fiction"" },      ""TagID"" : { ""N"" : ""1016"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Video Game Theme"" },      ""TagID"" : { ""N"" : ""1101"" }    }  }]","{ 30, 45 } ","2015","https://tesera.ru/images/items/791249/Portal%20The%20Uncooperative%20Cake%20Acquisition%20Game_rulebook.pdf"
"15987","14","The year is 1926, and it is the height of the Roaring Twenties. Flappers dance till dawn in smoke-filled speakeasies drinking alcohol supplied by rum runners and the mob. It's a celebration to end all celebrations in the aftermath of the war to end all wars.


        Yet a dark shadow grows in the city of Arkham. Alien entities known as Ancient Ones lurk in the emptiness beyond space and time, writhing at the gates between worlds. These gates have begun to open and must be closed before the Ancient Ones make our world their ruined domination.


        Only a handful of investigators stand against the Arkham Horror.  Will they Prevail? 

_Arkham Horror is a cooperative adventure game themed around H.P Lovecraft's Cthulhu Mythos. Players choose from 16 Investigators and take to the streets of Arkham. Before the game, one of the eight Ancient Ones is chosen and it's up to the Investigators to prevent it from breaking into our world. During the course of the game, players will upgrade their characters by acquiring skills, allies, items, weapons, and spells. It's up to the players to clean out the streets of Arkham by fighting many different types of monsters, but their main goal is to close portals to other dimensions that are opening up around town. With too many portals open the Ancient One awakens and the players only have one last chance to save the world. Defeat the Ancient One in combat!
","https://cf.geekdo-images.com/9cJf4kd_HZQo6NunfJlo9w__original/img/YA5R2ZUV2Zwt_fgXIxu8bii3OJ0=/0x0/filters:format(jpeg)/pic175966.jpg","Arkham Horror","{ 8, 1 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Adventure"" },      ""TagID"" : { ""N"" : ""1022"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Fantasy"" },      ""TagID"" : { ""N"" : ""1010"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Fighting"" },      ""TagID"" : { ""N"" : ""1046"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Horror"" },      ""TagID"" : { ""N"" : ""1024"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Novel-based"" },      ""TagID"" : { ""N"" : ""1093"" }    }  }]","{ 120, 240 } ","2005","https://www.orderofgamers.com/downloads/ArkhamHorror_v7.6.pdf"
"161936","13","Pandemic Legacy is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts very similar to basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand.
__During a player's turn, they have four actions available, with which they may travel around in the world in various ways (sometimes needing to discard a card), build structures like research stations, treat diseases (removing one cube from the board; if all cubes of a color have been removed, the disease has been eradicated), trade cards with other players, or find a cure for a disease (requiring five cards of the same color to be discarded while at a research station). Each player has a unique role with special abilities to help them at these actions.
__After a player has taken their actions, they draw two cards. These cards can include epidemic cards, which will place new disease cubes on the board, and can lead to an outbreak, spreading disease cubes even further. Outbreaks additionally increase the panic level of a city, making that city more expensive to travel to.
__Each month in the game, you have two chances to achieve that month's objectives. If you succeed, you win and immediately move on to the next month. If you fail, you have a second chance, with more funding for beneficial event cards.
__During the campaign, new rules and components will be introduced. These will sometimes require you to permanently alter the components of the game; this includes writing on cards, ripping up cards, and placing permanent stickers on components. Your characters can gain new skills, or detrimental effects. A character can even be lost entirely, at which point it's no longer available for play.
__Part of the Pandemic series
__","https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png","Pandemic Legacy: Season 1","{ 4, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Environmental"" },      ""TagID"" : { ""N"" : ""1084"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Medical"" },      ""TagID"" : { ""N"" : ""2145"" }    }  }]","{ 60 } ","2015","https://images-cdn.zmangames.com/us-east-1/filer_public/26/94/2694b3fb-c718-4f87-9bdd-bbea0fdadcbe/zm7172_pandemic_legacys1_red_rules.pdf"
"163","12","A clever repackaging of the parlor game Dictionary, Balderdash contains several cards with real words nobody has heard of.  After one of those words has been read aloud, players try to come up with definitions that at least sound plausible, because points are later awarded for every opposing player who guessed that your definition was the correct one.
__Versions of the game as a parlor game go back at least as far as 1970, although Balderdash itself was not published until 1984.
__Mattel republished Balderdash in 2006 in a form that derives its gameplay from the sequel Beyond Balderdash.
__Re-implemented by:
__    Beyond Balderdash / Absolute Balderdash___    Kokkelimonke Jubileum

_Re-implements:
__    Beyond Balderdash*


    In a peculiar situation, this game was reimplemented by Beyond/Absolute Balderdash and then combined back into the original title (Balderdash) but with the rules and cards from Beyond/Absolute; while Tactic re-published their version of Beyond/Absolute combined with the original Balderdash and called it Kokkelimonke Jubileum.

_","https://cf.geekdo-images.com/hXNqiCcLt9AJzcqBSsyKiQ__original/img/77EMP3lRlpwjMTGP1cHQqv7w5lk=/0x0/filters:format(jpeg)/pic5121000.jpg","Balderdash","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Bluffing"" },      ""TagID"" : { ""N"" : ""1023"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Party Game"" },      ""TagID"" : { ""N"" : ""1030"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Word Game"" },      ""TagID"" : { ""N"" : ""1025"" }    }  }]","{ 60 } ","1984","https://www.ultraboardgames.com/balderdash/game-rules.php "
"166384","13","Spyfall is a party game unlike any other, one in which you get to be a spy and try to understand what's going on around you. It's really simple!
__Spyfall is played over several rounds, and at the start of each round all players receive cards showing the same location - a casino, a traveling circus, a pirate ship, or even a space station - except that one player receives a card that says 'Spy' instead of the location. Players then start asking each other questions - 'Why are you dressed so strangely?' or 'When was the last time we got a payday?' or anything else you can come up with - trying to guess who among them is the spy. The spy doesn't know where he is, so he has to listen carefully. When it's his time to answer, he'd better create a good story!
__At any time during a round, one player may accuse another of being a spy. If all other players agree with the accusation, the round ends and the accused player has to reveal his identity. If the spy is uncovered, all other players score points.  However, the spy can himself end a round by announcing that he understands what the secret location is; if his guess is correct, only the spy scores points.
__After a few rounds of guessing, suspicion and bluffing, the game ends and whoever has scored the most points is victorious!
__","https://cf.geekdo-images.com/Ehx72XRdSeQHISVXcZVnHg__original/img/bI3PgKtvAGiD59QYya-pqasF_tk=/0x0/filters:format(jpeg)/pic2453926.jpg","Spyfall","{ 8, 3 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Bluffing"" },      ""TagID"" : { ""N"" : ""1023"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Deduction"" },      ""TagID"" : { ""N"" : ""1039"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Humor"" },      ""TagID"" : { ""N"" : ""1079"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Party Game"" },      ""TagID"" : { ""N"" : ""1030"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Spies/Secret Agents"" },      ""TagID"" : { ""N"" : ""1081"" }    }  }]","{ 15 } ","2014","https://cdn.1j1ju.com/medias/99/c4/5e-spyfall-rulebook.pdf"
"172225","7","Exploding Kittens is a kitty-powered version of Russian Roulette. Players take turns drawing cards until someone draws an exploding kitten and loses the game. The deck is made up of cards that let you avoid exploding by peeking at cards before you draw, forcing your opponent to draw multiple cards, or shuffling the deck.

The game gets more and more intense with each card you draw because fewer cards left in the deck means a greater chance of drawing the kitten and exploding in a fiery ball of feline hyperbole.

","https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__original/img/0ciN1VZYifUd0qIDO0e8cGXmiss=/0x0/filters:format(png)/pic2691976.png","Exploding Kittens","{ 2, 5 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Animals"" },      ""TagID"" : { ""N"" : ""1089"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Comic Book / Strip"" },      ""TagID"" : { ""N"" : ""1116"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Humor"" },      ""TagID"" : { ""N"" : ""1079"" }    }  }]","{ 15 } ","2015","https://www.explodingkittens.com/pages/rules-kittens "
"1751","8","The Game that Pursues You!  Stalking lions, Charging rhinos, Lunging, Snapping crocodiles, and more. In the wild world of Jumanji, they're only a dice roll away.

Choose your pawn and set out on a deadly journey.  Decode rhyming card messages that could spell disaster! Roll 8-sided dice together to rescue a fellow player in danger! Fail to escape, and the jungle could swallow you whole!  The only way out is to finish the game.  Only then will the terrors of the jungle disappear...

The game is based on the movie with the same name.

","https://cf.geekdo-images.com/hXE6-VJAIQcpMpkaRYlaAA__original/img/VNIdCapWaVzUG7vCz4a2fMoFbbI=/0x0/filters:format(jpeg)/pic6064.jpg","Jumanji","{ 4, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Adventure"" },      ""TagID"" : { ""N"" : ""1022"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Animals"" },      ""TagID"" : { ""N"" : ""1089"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Children's Game"" },      ""TagID"" : { ""N"" : ""1041"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Dice"" },      ""TagID"" : { ""N"" : ""1017"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Movies / TV / Radio theme"" },      ""TagID"" : { ""N"" : ""1064"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Racing"" },      ""TagID"" : { ""N"" : ""1031"" }    }  }]","{ 45 } ","1995","https://www.hasbro.com/common/instruct/Jumanji.PDF "
"178900","14","Codenames is an easy party game to solve puzzles. ___The game is divided into red and blue, each side has a team leader, the team leader's goal is to lead their team to the final victory. ___At the beginning of the game, there will be 25 cards on the table with different words. Each card has a corresponding position, representing different colors. ___Only the team leader can see the color of the card. The team leader should prompt according to the words, let his team members find out the cards of their corresponding colors, and find out all the cards of their own colors to win.
__","https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__original/img/gcX_EfjsRpB5fI4Ug4XV73G4jGI=/0x0/filters:format(jpeg)/pic2582929.jpg","Codenames","{ 8, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Deduction"" },      ""TagID"" : { ""N"" : ""1039"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Party Game"" },      ""TagID"" : { ""N"" : ""1030"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Spies/Secret Agents"" },      ""TagID"" : { ""N"" : ""1081"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Word Game"" },      ""TagID"" : { ""N"" : ""1025"" }    }  }]","{ 15 } ","2015","https://czechgames.com/files/rules/codenames-rules-en.pdf"
"183521","8","Conquer the Star Wars galaxy in this intergalactic, hyperdrive version of the fast-trading property game, Monopoly! You can play on the Rebel or the Empire side, and your mission is to conquer planets and build bases so you can dominate the universe! When players land on your planets, they owe you rent - but the same is true when you land on theirs! Powerful Force cards will alter your destiny, but there can be only one winner. When every planet is owned, the game is over - and if the Force is with you, you'll be the ultimate winner!

Includes gameboard, 4 character tokens (2 Rebel, 2 Empire), 44 bases (22 Rebel, 22 Empire, all double-sided), 18 Rebel Force cards, 18 Empire Force cards, 4 symbol cards, 2 dice, 1 money pack and game guide.

Note: This is a different game than Monopoly: Star Wars

","https://cf.geekdo-images.com/MH_iUD0GMVEiWxDXHR9DYA__original/img/RME6mAOGeovRbSiJ_TlHDJjFu6E=/0x0/filters:format(jpeg)/pic5269318.jpg","Monopoly: Star Wars","{ 4, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Economic"" },      ""TagID"" : { ""N"" : ""1021"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Science Fiction"" },      ""TagID"" : { ""N"" : ""1016"" }    }  }]","{ 20, 60 } ","2015","https://www.ultraboardgames.com/monopoly/star-wars-game-rules.php "
